tstart	tend	duration	clientip	respcode
2016-07-07 00:42:29	2016-07-07 00:42:29	255	10.27.128.86	0
2016-07-07 09:42:48	2016-07-07 09:42:48	616	10.27.128.86	0
2016-07-07 17:05:22	2016-07-07 17:05:22	492	10.27.128.86	0
2016-07-07 05:02:34	2016-07-07 05:02:34	469	10.27.128.86	0
2016-07-07 13:57:16	2016-07-07 13:57:16	562	10.27.128.86	0
2016-07-07 22:06:56	2016-07-07 22:06:56	181	10.27.128.86	0
2016-07-07 23:39:03	2016-07-07 23:39:03	189	10.27.128.86	0
2016-07-07 08:25:44	2016-07-07 08:25:44	242	10.27.128.86	0
2016-07-07 15:50:18	2016-07-07 15:50:18	566	10.27.128.86	0
2016-07-07 08:20:15	2016-07-07 08:20:15	325	10.27.128.86	0
2016-07-07 15:13:43	2016-07-07 15:13:43	49	10.27.128.86	0
2016-07-07 09:53:40	2016-07-07 09:53:40	688	10.27.128.86	0
2016-07-07 20:32:57	2016-07-07 20:32:57	162	10.27.128.86	0
2016-07-07 06:11:34	2016-07-07 06:11:34	407	10.27.128.86	0
2016-07-07 19:39:54	2016-07-07 19:39:54	325	10.27.128.86	0
2016-07-07 05:26:03	2016-07-07 05:26:03	375	10.27.128.86	0
2016-07-07 22:57:53	2016-07-07 22:57:53	530	10.27.128.86	0
2016-07-07 01:45:03	2016-07-07 01:45:03	733	10.27.128.86	0
2016-07-07 19:33:49	2016-07-07 19:33:49	219	10.27.128.86	0
2016-07-07 18:51:53	2016-07-07 18:51:53	580	10.27.128.86	0
2016-07-07 11:33:48	2016-07-07 11:33:48	3298	10.27.128.86	0
2016-07-07 11:14:12	2016-07-07 11:14:12	295	10.27.128.86	0
2016-07-07 20:07:53	2016-07-07 20:07:53	713	10.27.128.86	0
2016-07-07 18:01:20	2016-07-07 18:01:20	315	10.27.128.86	0
2016-07-07 11:17:14	2016-07-07 11:17:14	273	10.27.128.86	0
2016-07-07 06:38:43	2016-07-07 06:38:43	624	10.27.128.86	0
2016-07-07 11:28:21	2016-07-07 11:28:21	271	10.27.128.86	0
2016-07-07 12:06:48	2016-07-07 12:06:48	320	10.27.128.86	0
2016-07-07 04:01:02	2016-07-07 04:01:02	545	10.27.128.86	0
2016-07-07 03:41:39	2016-07-07 03:41:39	645	10.27.128.86	0
2016-07-07 12:42:20	2016-07-07 12:42:20	205	10.27.128.86	0
2016-07-07 00:05:03	2016-07-07 00:05:03	540	10.27.128.86	0
2016-07-07 00:42:38	2016-07-07 00:42:38	320	10.27.128.86	0
2016-07-07 06:57:44	2016-07-07 06:57:44	661	10.27.128.86	0
2016-07-07 16:15:01	2016-07-07 16:15:01	331	10.27.128.86	0
2016-07-07 15:44:50	2016-07-07 15:44:50	585	10.27.128.86	0
2016-07-07 20:24:54	2016-07-07 20:24:54	198	10.27.128.86	0
2016-07-07 06:41:11	2016-07-07 06:41:11	581	10.27.128.86	0
2016-07-07 01:59:31	2016-07-07 01:59:31	611	10.27.128.86	0
2016-07-07 22:06:50	2016-07-07 22:06:50	386	10.27.128.86	0
2016-07-07 02:23:37	2016-07-07 02:23:37	734	10.27.128.86	0
2016-07-07 07:28:30	2016-07-07 07:28:30	621	10.27.128.86	0
2016-07-07 22:12:25	2016-07-07 22:12:25	436	10.27.128.86	0
2016-07-07 02:43:41	2016-07-07 02:43:41	274	10.27.128.86	0
2016-07-07 10:55:18	2016-07-07 10:55:18	804	10.27.128.86	0
2016-07-07 03:39:18	2016-07-07 03:39:18	366	10.27.128.86	0
2016-07-07 03:03:00	2016-07-07 03:03:00	377	10.27.128.86	0
2016-07-07 04:31:46	2016-07-07 04:31:46	3679	10.27.128.86	0
2016-07-07 16:07:32	2016-07-07 16:07:32	260	10.27.128.86	0
2016-07-07 03:44:08	2016-07-07 03:44:08	478	10.27.128.86	0
2016-07-07 18:35:26	2016-07-07 18:35:26	193	10.27.128.86	0
2016-07-07 07:08:15	2016-07-07 07:08:15	3402	10.27.128.86	0
2016-07-07 13:15:58	2016-07-07 13:15:58	836	10.27.128.86	0
2015-02-28 23:58:58	2015-02-28 23:58:58	224	10.27.128.86	0
2016-07-07 02:41:04	2016-07-07 02:41:04	505	10.27.128.86	0
2016-07-07 11:33:40	2016-07-07 11:33:40	588	10.27.128.86	0
2016-07-07 01:06:00	2016-07-07 01:06:00	641	10.27.128.86	0
2016-07-07 10:05:19	2016-07-07 10:05:19	370	10.27.128.86	0
2016-07-07 00:13:33	2016-07-07 00:13:33	566	10.27.128.86	0
2016-07-07 03:28:09	2016-07-07 03:28:09	578	10.27.128.86	0
2016-07-07 07:47:13	2016-07-07 07:47:13	402	10.27.128.86	0
2016-07-07 11:00:43	2016-07-07 11:00:43	220	10.27.128.86	0
2016-07-07 04:37:08	2016-07-07 04:37:08	495	10.27.128.86	0
2016-07-07 17:11:23	2016-07-07 17:11:23	590	10.27.128.86	0
2016-07-07 05:56:14	2016-07-07 05:56:14	222	10.27.128.86	0
2016-07-07 18:23:48	2016-07-07 18:23:48	556	10.27.128.86	0
2016-07-07 15:24:43	2016-07-07 15:24:43	50	10.27.128.86	0
2016-07-07 12:20:10	2016-07-07 12:20:10	48	10.27.128.86	0
2016-07-07 07:13:47	2016-07-07 07:13:47	396	10.27.128.86	0
2016-07-07 21:40:56	2016-07-07 21:40:56	178	10.27.128.86	0
2016-07-07 05:37:05	2016-07-07 05:37:05	456	10.27.128.86	0
2016-07-07 17:13:55	2016-07-07 17:13:55	1101	10.27.128.86	0
2016-07-07 14:00:12	2016-07-07 14:00:12	477	10.27.128.86	0
2016-07-07 16:12:28	2016-07-07 16:12:28	232	10.27.128.86	0
2016-07-07 12:25:50	2016-07-07 12:25:50	177	10.27.128.86	0
2016-07-07 03:09:02	2016-07-07 03:09:02	228	10.27.128.86	0
2016-07-07 11:44:13	2016-07-07 11:44:13	898	10.27.128.86	0
2016-07-07 02:26:29	2016-07-07 02:26:29	50	10.27.128.86	0
2016-07-07 12:45:26	2016-07-07 12:45:26	2810	10.27.128.86	0
2016-07-07 16:10:24	2016-07-07 16:10:24	3598	10.27.128.86	0
2016-07-07 07:19:37	2016-07-07 07:19:37	613	10.27.128.86	0
2016-07-07 15:02:52	2016-07-07 15:02:52	1045	10.27.128.86	0
2016-07-07 16:51:18	2016-07-07 16:51:18	838	10.27.128.86	0
2016-07-07 14:21:58	2016-07-07 14:21:58	482	10.27.128.86	0
2016-07-07 22:06:58	2016-07-07 22:06:58	387	10.27.128.86	0
2016-07-07 06:01:14	2016-07-07 06:01:14	1	10.27.128.86	0
2016-07-07 10:11:16	2016-07-07 10:11:16	698	10.27.128.86	0
2016-07-07 09:31:48	2016-07-07 09:31:48	400	10.27.128.86	0
2016-07-07 16:54:19	2016-07-07 16:54:19	258	10.27.128.86	0
2016-07-07 11:09:21	2016-07-07 11:09:21	463	10.27.128.86	0
2016-07-07 20:21:49	2016-07-07 20:21:49	327	10.27.128.86	0
2016-07-07 13:07:44	2016-07-07 13:07:44	724	10.27.128.86	0
2016-07-07 13:43:55	2016-07-07 13:43:55	189	10.27.128.86	0
2016-07-07 03:09:01	2016-07-07 03:09:01	356	10.27.128.86	0
2016-07-07 21:00:58	2016-07-07 21:00:58	178	10.27.128.86	0
2016-07-07 05:02:39	2016-07-07 05:02:39	449	10.27.128.86	0
2016-07-07 10:55:13	2016-07-07 10:55:13	543	10.27.128.86	0
2016-07-07 18:54:23	2016-07-07 18:54:23	239	10.27.128.86	0
2016-07-07 10:46:47	2016-07-07 10:46:47	291	10.27.128.86	0
2016-07-07 02:29:36	2016-07-07 02:29:36	421	10.27.128.86	0
2016-07-07 01:20:05	2016-07-07 01:20:05	325	10.27.128.86	0
2016-07-07 15:50:15	2016-07-07 15:50:15	518	10.27.128.86	0
2016-07-07 08:25:49	2016-07-07 08:25:49	165	10.27.128.86	0
2016-07-07 00:40:04	2016-07-07 00:40:04	221	10.27.128.86	0
2016-07-07 02:15:29	2016-07-07 02:15:29	414	10.27.128.86	0
2016-07-07 23:52:54	2016-07-07 23:52:54	756	10.27.128.86	0
2016-07-07 12:37:21	2016-07-07 12:37:21	408	10.27.128.86	0
2016-07-07 06:51:48	2016-07-07 06:51:48	187	10.27.128.86	0
2016-07-07 22:24:00	2016-07-07 22:24:00	179	10.27.128.86	0
2016-07-07 12:03:42	2016-07-07 12:03:42	775	10.27.128.86	0
2016-07-07 03:52:33	2016-07-07 03:52:33	263	10.27.128.86	0
2016-07-07 02:35:04	2016-07-07 02:35:04	242	10.27.128.86	0
2016-07-07 17:25:15	2016-07-07 17:25:15	49	10.27.128.86	0
2016-07-07 17:22:23	2016-07-07 17:22:23	262	10.27.128.86	0
2016-07-07 23:03:57	2016-07-07 23:03:57	541	10.27.128.86	0
2016-07-07 19:39:48	2016-07-07 19:39:48	538	10.27.128.86	0
2016-07-07 06:19:39	2016-07-07 06:19:39	237	10.27.128.86	0
2016-07-07 15:36:25	2016-07-07 15:36:25	541	10.27.128.86	0
2016-07-07 05:29:03	2016-07-07 05:29:03	396	10.27.128.86	0
2016-07-07 20:38:56	2016-07-07 20:38:56	617	10.27.128.86	0
2016-07-07 05:23:09	2016-07-07 05:23:09	377	10.27.128.86	0
2016-07-07 19:53:18	2016-07-07 19:53:18	534	10.27.128.86	0
2016-07-07 17:11:20	2016-07-07 17:11:20	700	10.27.128.86	0
2016-07-07 19:44:50	2016-07-07 19:44:50	558	10.27.128.86	0
2016-07-07 18:07:17	2016-07-07 18:07:17	415	10.27.128.86	0
2016-07-07 19:36:54	2016-07-07 19:36:54	658	10.27.128.86	0
2016-07-07 06:11:52	2016-07-07 06:11:52	299	10.27.128.86	0
2016-07-07 16:26:25	2016-07-07 16:26:25	781	10.27.128.86	0
2016-07-07 03:58:43	2016-07-07 03:58:43	779	10.27.128.86	0
2016-07-07 01:13:58	2016-07-07 01:13:58	732	10.27.128.86	0
2016-07-07 22:51:57	2016-07-07 22:51:57	573	10.27.128.86	0
2016-07-07 04:34:12	2016-07-07 04:34:12	573	10.27.128.86	0
2016-07-07 17:36:49	2016-07-07 17:36:49	359	10.27.128.86	0
2016-07-07 15:33:17	2016-07-07 15:33:17	314	10.27.128.86	0
2016-07-07 01:09:00	2016-07-07 01:09:00	616	10.27.128.86	0
2016-07-07 02:23:34	2016-07-07 02:23:34	431	10.27.128.86	0
2016-07-07 05:10:43	2016-07-07 05:10:43	726	10.27.128.86	0
2016-07-07 08:52:44	2016-07-07 08:52:44	468	10.27.128.86	0
2016-07-07 02:54:31	2016-07-07 02:54:31	553	10.27.128.86	0
2016-07-07 06:51:40	2016-07-07 06:51:40	213	10.27.128.86	0
2016-07-07 22:03:52	2016-07-07 22:03:52	575	10.27.128.86	0
2016-07-07 06:57:50	2016-07-07 06:57:50	1	10.27.128.86	0
2016-07-07 19:19:56	2016-07-07 19:19:56	388	10.27.128.86	0
2016-07-07 12:53:43	2016-07-07 12:53:43	614	10.27.128.86	0
2016-07-07 04:54:09	2016-07-07 04:54:09	433	10.27.128.86	0
2016-07-07 15:05:54	2016-07-07 15:05:54	4036	10.27.128.86	0
2016-07-07 17:48:16	2016-07-07 17:48:16	436	10.27.128.86	0
2016-07-07 04:51:08	2016-07-07 04:51:08	737	10.27.128.86	0
2016-07-07 16:31:49	2016-07-07 16:31:49	486	10.27.128.86	0
2016-07-07 13:57:20	2016-07-07 13:57:20	551	10.27.128.86	0
2016-07-07 05:32:10	2016-07-07 05:32:10	571	10.27.128.86	0
2016-07-07 17:45:19	2016-07-07 17:45:19	183	10.27.128.86	0
2016-07-07 04:18:16	2016-07-07 04:18:16	815	10.27.128.86	0
2016-07-07 20:13:25	2016-07-07 20:13:25	572	10.27.128.86	0
2016-07-07 20:52:19	2016-07-07 20:52:19	407	10.27.128.86	0
2016-07-07 22:43:25	2016-07-07 22:43:25	234	10.27.128.86	0
2016-07-07 07:38:37	2016-07-07 07:38:37	374	10.27.128.86	0
2016-07-07 20:16:24	2016-07-07 20:16:24	227	10.27.128.86	0
2016-07-07 16:59:54	2016-07-07 16:59:54	801	10.27.128.86	0
2016-07-07 14:43:53	2016-07-07 14:43:53	261	10.27.128.86	0
2016-07-07 13:49:16	2016-07-07 13:49:16	503	10.27.128.86	0
2016-07-07 07:05:19	2016-07-07 07:05:19	199	10.27.128.86	0
2016-07-07 16:07:31	2016-07-07 16:07:31	797	10.27.128.86	0
2016-07-07 13:10:45	2016-07-07 13:10:45	272	10.27.128.86	0
2016-07-07 23:18:21	2016-07-07 23:18:21	47	10.27.128.86	0
2016-07-07 15:27:59	2016-07-07 15:27:59	281	10.27.128.86	0
2016-07-07 23:24:29	2016-07-07 23:24:29	179	10.27.128.86	0
2016-07-07 00:13:38	2016-07-07 00:13:38	756	10.27.128.86	0
2016-07-07 22:20:55	2016-07-07 22:20:55	561	10.27.128.86	0
2016-07-07 16:01:21	2016-07-07 16:01:21	434	10.27.128.86	0
2016-07-07 08:28:42	2016-07-07 08:28:42	547	10.27.128.86	0
2016-07-07 05:47:39	2016-07-07 05:47:39	899	10.27.128.86	0
2016-07-07 05:07:34	2016-07-07 05:07:34	384	10.27.128.86	0
2016-07-07 20:30:26	2016-07-07 20:30:26	323	10.27.128.86	0
2016-07-07 09:26:18	2016-07-07 09:26:18	163	10.27.128.86	0
2016-07-07 05:02:35	2016-07-07 05:02:35	286	10.27.128.86	0
2016-07-07 06:32:34	2016-07-07 06:32:34	56	10.27.128.86	0
2016-07-07 23:12:30	2016-07-07 23:12:30	185	10.27.128.86	0
2016-07-07 12:59:13	2016-07-07 12:59:13	629	10.27.128.86	0
2016-07-07 04:28:41	2016-07-07 04:28:41	851	10.27.128.86	0
2016-07-07 23:06:52	2016-07-07 23:06:52	388	10.27.128.86	0
2016-07-07 00:33:58	2016-07-07 00:33:58	319	10.27.128.86	0
2016-07-07 11:36:46	2016-07-07 11:36:46	462	10.27.128.86	0
2016-07-07 08:50:12	2016-07-07 08:50:12	796	10.27.128.86	0
2016-07-07 00:13:34	2016-07-07 00:13:34	326	10.27.128.86	0
2016-07-07 08:09:41	2016-07-07 08:09:41	630	10.27.128.86	0
2016-07-07 21:06:21	2016-07-07 21:06:21	254	10.27.128.86	0
2016-07-07 23:09:59	2016-07-07 23:09:59	317	10.27.128.86	0
2016-07-07 02:35:00	2016-07-07 02:35:00	607	10.27.128.86	0
2016-07-07 05:53:29	2016-07-07 05:53:29	274	10.27.128.86	0
2016-07-07 22:23:57	2016-07-07 22:23:57	163	10.27.128.86	0
2016-07-07 18:51:54	2016-07-07 18:51:54	356	10.27.128.86	0
2016-07-07 22:51:53	2016-07-07 22:51:53	536	10.27.128.86	0
2016-07-07 14:32:42	2016-07-07 14:32:42	49	10.27.128.86	0
2016-07-07 12:31:47	2016-07-07 12:31:47	183	10.27.128.86	0
2016-07-07 20:07:54	2016-07-07 20:07:54	228	10.27.128.86	0
2016-07-07 06:54:45	2016-07-07 06:54:45	3396	10.27.128.86	0
2016-07-07 16:54:16	2016-07-07 16:54:16	588	10.27.128.86	0
2016-07-07 19:42:21	2016-07-07 19:42:21	378	10.27.128.86	0
2016-07-07 03:47:01	2016-07-07 03:47:01	48	10.27.128.86	0
2016-07-07 03:03:10	2016-07-07 03:03:10	250	10.27.128.86	0
2016-07-07 07:19:38	2016-07-07 07:19:38	800	10.27.128.86	0
2016-07-07 12:53:50	2016-07-07 12:53:50	251	10.27.128.86	0
2016-07-07 17:45:15	2016-07-07 17:45:15	50	10.27.128.86	0
2016-07-07 20:21:52	2016-07-07 20:21:52	239	10.27.128.86	0
2016-07-07 17:42:23	2016-07-07 17:42:23	650	10.27.128.86	0
2016-07-07 08:45:08	2016-07-07 08:45:08	245	10.27.128.86	0
2016-07-07 01:08:58	2016-07-07 01:08:58	784	10.27.128.86	0
2016-07-07 02:26:31	2016-07-07 02:26:31	237	10.27.128.86	0
2016-07-07 02:10:33	2016-07-07 02:10:33	235	10.27.128.86	0
2016-07-07 21:40:51	2016-07-07 21:40:51	181	10.27.128.86	0
2016-07-07 17:19:58	2016-07-07 17:19:58	214	10.27.128.86	0
2016-07-07 03:41:35	2016-07-07 03:41:35	747	10.27.128.86	0
2016-07-07 15:05:58	2016-07-07 15:05:58	3757	10.27.128.86	0
2016-07-07 22:40:55	2016-07-07 22:40:55	595	10.27.128.86	0
